,Dest,Qty_Cancelled,Qty,CancelledRatio
0,DUT,605,2752,21.98
1,ORH,160,1279,12.51
2,ACK,61,662,9.21
3,ADK,21,280,7.5
4,ADQ,311,4298,7.24
5,VIS,134,1982,6.76
6,MAZ,6,90,6.67
7,HPN,2705,41561,6.51
8,CSG,373,6134,6.08
9,SCC,138,2416,5.71
10,BET,397,7041,5.64
11,DLG,91,1645,5.53
12,SPI,16,300,5.33
13,MOD,215,4199,5.12
14,CMI,632,12455,5.07
15,APF,73,1485,4.92
16,BRW,227,4679,4.85
17,LGA,31993,675995,4.73
18,WRG,205,4360,4.7
19,AZO,840,18114,4.64
20,PSG,202,4360,4.63
21,MKK,13,288,4.51
22,BMI,431,9577,4.5
23,MEI,175,3998,4.38
24,TRI,542,12374,4.38
25,PIA,690,15876,4.35
26,AKN,89,2051,4.34
27,BOS,31564,731793,4.31
28,RST,583,13577,4.29
29,YAK,187,4357,4.29
30,HTS,149,3534,4.22
31,ROA,700,16675,4.2
32,CID,1506,35995,4.18
33,OME,260,6246,4.16
34,EVV,788,18967,4.15
35,PWM,2213,53488,4.14
36,ERI,212,5127,4.13
37,MQT,110,2718,4.05
38,DBQ,244,6021,4.05
39,CHA,718,17762,4.04
40,BGR,852,21260,4.01
41,GTR,189,4793,3.94
42,FWA,968,24601,3.93
43,OTZ,240,6123,3.92
44,TOL,785,20257,3.88
45,ORD,79182,2046251,3.87
46,FLO,115,3012,3.82
47,HKY,25,655,3.82
48,DCA,19498,514766,3.79
49,BTM,155,4111,3.77
50,LSE,331,8887,3.72
51,DHN,218,5854,3.72
52,AGS,444,11940,3.72
53,CEC,118,3222,3.66
54,AVL,598,16644,3.59
55,AVP,392,11020,3.56
56,ANC,4445,125414,3.54
57,ABY,147,4202,3.5
58,GSP,2060,59324,3.47
59,VLD,146,4241,3.44
60,BQK,140,4105,3.41
61,SUN,312,9139,3.41
62,XNA,1665,49364,3.37
63,EYW,242,7190,3.37
64,EWR,27373,811566,3.37
65,LYH,106,3223,3.29
66,GNV,239,7279,3.28
67,RIC,3309,102019,3.24
68,MBS,632,19617,3.22
69,ABE,939,29249,3.21
70,SBN,491,15548,3.16
71,TUP,20,637,3.14
72,PHL,21999,705912,3.12
73,GST,17,545,3.12
74,HSV,1417,45610,3.11
75,DAL,8479,272394,3.11
76,GSO,2861,92232,3.1
77,EFD,82,2647,3.1
78,FAY,215,6962,3.09
79,SWF,363,11737,3.09
80,CRW,557,18020,3.09
81,MOB,753,24409,3.08
82,CHO,240,7819,3.07
83,ATW,186,6164,3.02
84,IAD,15669,523349,2.99
85,CAE,1303,43646,2.99
86,CVG,20793,710577,2.93
87,ROC,2668,91993,2.9
88,DLH,256,8854,2.89
89,PFN,275,9506,2.89
90,TXK,234,8181,2.86
91,HVN,48,1680,2.86
92,ILE,384,13765,2.79
93,CWA,5,180,2.78
94,MDT,1266,46223,2.74
95,BTV,930,34295,2.71
96,DAY,2010,74055,2.71
97,FAI,869,32298,2.69
98,SFO,19822,737353,2.69
99,MSN,1153,42854,2.69
100,LAN,618,23062,2.68
101,PNS,1065,39863,2.67
102,VCT,65,2434,2.67
103,TVC,371,14065,2.64
104,ATL,51585,1963955,2.63
105,LEX,923,35133,2.63
106,LCH,116,4426,2.62
107,ELM,62,2371,2.61
108,PIT,12342,473877,2.6
109,ACV,313,12035,2.6
110,GRB,749,28768,2.6
111,MCN,115,4480,2.57
112,ACY,58,2261,2.57
113,BPT,190,7452,2.55
114,BGM,124,4937,2.51
115,SCE,106,4246,2.5
116,VPS,597,23840,2.5
117,ICT,1275,51271,2.49
118,MLI,431,17295,2.49
119,MGM,291,11764,2.47
120,EKO,187,7601,2.46
121,GPT,507,20655,2.45
122,DSM,1360,55570,2.45
123,HOU,8394,344245,2.44
124,FSM,285,11796,2.42
125,JFK,10242,425327,2.41
126,TLH,471,19645,2.4
127,SPS,262,10985,2.39
128,RDU,7100,297210,2.39
129,DFW,43533,1825365,2.38
130,EUG,481,20349,2.36
131,BUF,3109,132017,2.35
132,SHV,934,39881,2.34
133,CDV,102,4358,2.34
134,GRR,1728,74470,2.32
135,MKE,2603,112738,2.31
136,DTW,19933,865575,2.3
137,ILM,394,17103,2.3
138,CAK,604,26204,2.3
139,GRK,181,7855,2.3
140,SBA,1074,46927,2.29
141,CHS,1295,57079,2.27
142,SGF,694,30738,2.26
143,SYR,1657,74206,2.23
144,AEX,204,9162,2.23
145,CLT,15302,695287,2.2
146,TYS,1205,54981,2.19
147,CMH,4843,222538,2.18
148,HLN,192,8790,2.18
149,SUX,21,967,2.17
150,ITH,51,2372,2.15
151,TYR,339,15786,2.15
152,LAX,27909,1307423,2.13
153,GJT,244,11507,2.12
154,BTR,803,38269,2.1
155,ORF,2553,121514,2.1
156,LFT,304,14564,2.09
157,SJT,242,11642,2.08
158,SIT,166,7982,2.08
159,AMA,865,41965,2.06
160,BFL,243,11799,2.06
161,SAV,1104,53966,2.05
162,FAR,379,18487,2.05
163,IYK,64,3148,2.03
164,ISO,15,742,2.02
165,LAW,225,11137,2.02
166,MFR,365,18032,2.02
167,SNA,5466,272339,2.01
168,MSP,17232,860432,2.0
169,ACT,285,14265,2.0
170,TWF,129,6526,1.98
171,CRP,766,38954,1.97
172,CLL,299,15155,1.97
173,FSD,427,21856,1.95
174,WYS,16,824,1.94
175,COS,1389,71446,1.94
176,LNK,197,10196,1.93
177,DAB,308,16084,1.91
178,BDL,4031,211068,1.91
179,ALB,1862,97540,1.91
180,MLB,249,13083,1.9
181,ISP,1267,66931,1.89
182,PHF,314,16709,1.88
183,MEM,5724,305414,1.87
184,HRL,576,30816,1.87
185,CDC,53,2840,1.87
186,OXR,97,5208,1.86
187,GGG,122,6607,1.85
188,MIA,7321,398390,1.84
189,PIH,105,5699,1.84
190,PVD,3149,172600,1.82
191,TUL,2333,128242,1.82
192,MHT,2044,113016,1.81
193,DEN,15717,870290,1.81
194,CLE,7676,426156,1.8
195,ABI,241,13359,1.8
196,SEA,11194,628798,1.78
197,JAC,247,13986,1.77
198,RDD,110,6253,1.76
199,PHX,18668,1061787,1.76
200,KTN,262,14968,1.75
201,FAT,841,48316,1.74
202,SJC,6730,387556,1.74
203,STL,12080,692700,1.74
204,LBB,872,50563,1.72
205,IND,3976,232637,1.71
206,FNT,362,21125,1.71
207,LIT,1640,95748,1.71
208,MAF,741,44259,1.67
209,JNU,456,27234,1.67
210,MLU,221,13283,1.66
211,CLD,103,6342,1.62
212,MRY,425,26355,1.61
213,RDM,134,8314,1.61
214,CIC,52,3238,1.61
215,MYR,463,28773,1.61
216,PDX,5195,329673,1.58
217,JAN,899,58106,1.55
218,OKC,1990,128514,1.55
219,MSY,4586,297703,1.54
220,BUR,2506,162232,1.54
221,BRO,90,5889,1.53
222,DRO,48,3159,1.52
223,FCA,200,13372,1.5
224,GFK,78,5213,1.5
225,BWI,8769,590013,1.49
226,PSP,792,53824,1.47
227,SLC,9510,652395,1.46
228,SDF,1900,130000,1.46
229,AUS,3572,247328,1.44
230,PBI,2162,151330,1.43
231,SAT,3293,229591,1.43
232,GTF,243,17374,1.4
233,CPR,125,8921,1.4
234,BHM,1663,119891,1.39
235,SRQ,425,30793,1.38
236,GEG,1111,80376,1.38
237,IDA,133,9678,1.37
238,MCO,8184,601134,1.36
239,MDW,5813,427109,1.36
240,FLL,4754,350347,1.36
241,LRD,144,10568,1.36
242,MCI,4776,354649,1.35
243,SAN,6527,487118,1.34
244,ONT,2826,212496,1.33
245,SBP,288,21750,1.32
246,STX,51,3888,1.31
247,IAH,12739,978729,1.3
248,PSC,183,14133,1.29
249,SMX,80,6367,1.26
250,JAX,2034,161633,1.26
251,SJU,1888,151910,1.24
252,OMA,1441,118388,1.22
253,TPA,4946,413609,1.2
254,HDN,52,4323,1.2
255,BNA,4049,338830,1.19
256,OAK,4652,389952,1.19
257,BIL,284,24352,1.17
258,TUS,1293,111747,1.16
259,IPL,25,2197,1.14
260,RSW,1300,113819,1.14
261,LIH,324,28488,1.14
