,FlightNum,Qty_Cancelled,Qty,CancelledRatio
0,6013,1,1,100.0
1,9293,1,1,100.0
2,6666,2,6,33.33
3,7020,1,5,20.0
4,7025,1,6,16.67
5,7165,1,6,16.67
6,7150,1,6,16.67
7,7154,1,6,16.67
8,7024,1,6,16.67
9,7019,1,6,16.67
10,7009,14,87,16.09
11,5773,80,539,14.84
12,7777,10,71,14.08
13,7000,7,52,13.46
14,7555,37,277,13.36
15,7298,44,336,13.1
16,4934,73,577,12.65
17,7043,8,67,11.94
18,7167,7,59,11.86
19,7781,50,441,11.34
20,7141,6,53,11.32
21,7002,18,161,11.18
22,7005,18,162,11.11
23,4897,63,570,11.05
24,7748,44,399,11.03
25,4098,118,1073,11.0
26,5597,88,802,10.97
27,5442,121,1103,10.97
28,7302,41,375,10.93
29,5045,46,422,10.9
30,7040,17,156,10.9
31,5035,134,1237,10.83
32,5926,19,178,10.67
33,7006,17,161,10.56
34,4937,49,469,10.45
35,5766,72,696,10.34
36,5551,104,1012,10.28
37,7766,41,399,10.28
38,7455,58,566,10.25
39,5138,114,1114,10.23
40,7041,12,118,10.17
41,6367,12,118,10.17
42,7970,13,128,10.16
43,4890,107,1056,10.13
44,7921,13,129,10.08
45,7214,30,300,10.0
46,4948,80,812,9.85
47,7680,42,430,9.77
48,5568,59,605,9.75
49,5371,93,963,9.66
50,5185,124,1284,9.66
51,6025,70,728,9.62
52,5038,98,1027,9.54
53,5127,132,1393,9.48
54,7585,49,518,9.46
55,7797,30,318,9.43
56,7007,11,118,9.32
57,4545,146,1573,9.28
58,7565,28,307,9.12
59,4218,210,2317,9.06
60,4511,199,2201,9.04
61,7378,30,332,9.04
62,5011,33,366,9.02
63,7039,14,156,8.97
64,4097,82,919,8.92
65,7736,34,384,8.85
66,5863,70,798,8.77
67,5767,41,468,8.76
68,6366,9,105,8.57
69,4993,119,1391,8.55
70,4857,146,1712,8.53
71,4075,134,1573,8.52
72,4970,83,974,8.52
73,4853,141,1662,8.48
74,7004,10,118,8.47
75,5552,59,697,8.46
76,4820,138,1633,8.45
77,4380,221,2620,8.44
78,4607,144,1722,8.36
79,4924,40,480,8.33
80,7038,13,156,8.33
81,7794,23,276,8.33
82,7644,3,36,8.33
83,5207,101,1213,8.33
84,4093,198,2381,8.32
85,4994,72,869,8.29
86,5894,34,410,8.29
87,5441,60,725,8.28
88,4915,44,533,8.26
89,7469,45,551,8.17
90,4935,77,951,8.1
91,7380,22,272,8.09
92,4995,68,845,8.05
93,4942,92,1147,8.02
94,7491,44,549,8.01
95,4972,115,1438,8.0
96,7545,41,514,7.98
97,7820,18,226,7.96
98,4508,182,2285,7.96
99,7714,41,516,7.95
100,4980,77,976,7.89
101,7191,9,114,7.89
102,5468,74,938,7.89
103,7307,20,254,7.87
104,7691,21,268,7.84
105,4493,118,1510,7.81
106,5469,57,731,7.8
107,4856,99,1269,7.8
108,7212,28,360,7.78
109,5233,67,862,7.77
110,5067,69,888,7.77
111,7610,39,503,7.75
112,4927,86,1112,7.73
113,5888,16,207,7.73
114,4965,64,828,7.73
115,5514,49,635,7.72
116,7036,12,156,7.69
117,7218,5,65,7.69
118,7767,24,312,7.69
119,4950,78,1014,7.69
120,4240,178,2320,7.67
121,4466,173,2262,7.65
122,4926,57,747,7.63
123,7909,9,118,7.63
124,6301,105,1377,7.63
125,4659,112,1475,7.59
126,5570,55,725,7.59
127,7547,28,370,7.57
128,4882,86,1141,7.54
129,7933,26,345,7.54
130,7792,35,465,7.53
131,7805,15,200,7.5
132,7564,20,268,7.46
133,7003,12,161,7.45
134,4050,151,2028,7.45
135,4953,97,1302,7.45
136,7707,12,161,7.45
137,7461,42,565,7.43
138,7552,25,337,7.42
139,5993,2,27,7.41
140,4210,208,2811,7.4
141,4238,151,2048,7.37
142,4918,76,1033,7.36
143,4066,104,1413,7.36
144,7823,17,231,7.36
145,5189,29,395,7.34
146,6217,140,1910,7.33
147,7211,22,301,7.31
148,5043,39,535,7.29
149,5516,34,467,7.28
150,5004,52,714,7.28
151,7749,29,399,7.27
152,4392,163,2241,7.27
153,7052,4,55,7.27
154,7197,9,124,7.26
155,4043,117,1611,7.26
156,7524,27,372,7.26
157,5479,79,1089,7.25
158,5435,53,731,7.25
159,4040,106,1466,7.23
160,5860,40,553,7.23
161,7527,19,263,7.22
162,4849,208,2887,7.2
163,4394,174,2416,7.2
164,1353,188,2613,7.19
165,7306,21,292,7.19
166,4231,161,2242,7.18
167,4515,155,2158,7.18
168,7376,20,279,7.17
169,7875,35,489,7.16
170,4792,188,2628,7.15
171,4513,143,2004,7.14
172,4444,147,2065,7.12
173,4844,66,928,7.11
174,4333,218,3065,7.11
175,4468,89,1257,7.08
176,7672,17,240,7.08
177,7654,21,297,7.07
178,7872,32,453,7.06
179,4803,84,1191,7.05
180,7085,11,156,7.05
181,7387,20,284,7.04
182,4507,139,1976,7.03
183,4936,27,384,7.03
184,7699,16,228,7.02
185,5805,91,1297,7.02
186,7184,11,157,7.01
187,7187,11,157,7.01
188,7795,30,428,7.01
189,4469,99,1415,7.0
190,7728,34,486,7.0
191,5268,70,1002,6.99
192,7192,10,143,6.99
193,7466,38,546,6.96
194,4765,111,1598,6.95
195,4968,101,1453,6.95
196,4134,206,2963,6.95
197,7889,13,187,6.95
198,5828,56,806,6.95
199,5072,79,1138,6.94
200,5258,68,980,6.94
201,5018,67,966,6.94
202,7266,23,332,6.93
203,7674,21,303,6.93
204,4538,135,1947,6.93
205,7521,24,347,6.92
206,7769,24,347,6.92
207,2854,110,1593,6.91
208,5103,36,521,6.91
209,7657,18,261,6.9
210,4082,105,1524,6.89
211,4445,135,1963,6.88
212,4597,83,1209,6.87
213,4885,96,1398,6.87
214,5324,60,874,6.86
215,7717,14,205,6.83
216,4911,89,1304,6.83
217,5186,68,996,6.83
218,4768,39,571,6.83
219,7449,39,572,6.82
220,7554,23,337,6.82
221,5234,58,850,6.82
222,4509,136,1998,6.81
223,4896,64,941,6.8
224,7509,39,574,6.79
225,5174,50,736,6.79
226,4827,94,1385,6.79
227,4544,151,2226,6.78
228,5440,101,1492,6.77
229,7237,16,237,6.75
230,4288,121,1799,6.73
231,7379,22,327,6.73
232,4237,186,2763,6.73
233,7582,31,463,6.7
234,4049,111,1660,6.69
235,5266,61,912,6.69
236,4105,159,2378,6.69
