,UniqueCarrier,Qty_Cancelled,Qty,CancelledRatio
0,MQ,96365,2373620,4.06
1,OH,24986,754683,3.31
2,EV,27947,857220,3.26
3,DH,22176,693047,3.2
4,UA,101857,3654898,2.79
5,AS,26667,956497,2.79
6,US,85866,3206520,2.68
7,AQ,1662,64834,2.56
8,DL,107851,4478580,2.41
9,AA,105712,4435990,2.38
10,TW,11001,511852,2.15
11,HP,25402,1208561,2.1
12,XE,21483,1099556,1.95
13,NW,59210,3084991,1.92
14,OO,25924,1377703,1.88
15,CO,26565,1994295,1.33
16,FL,6075,502650,1.21
17,WN,65549,5810593,1.13
18,TZ,2080,188818,1.1
19,B6,1707,268068,0.64
20,F9,175,53255,0.33
21,HA,268,104091,0.26
